"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-03-18","Sobota","
Św. Cyryla Jerozolimskiego, Biskupa I Doktora Kościoła
","Oz 6,1-6, Ps 51,3-4.18-21, Łk 18,9-14"
"2023-03-19","Niedziela","Uroczystść świętego Józefa
Św. Józefa, Oblubieńca Najśw. Maryi Panny
","2 Sm 7,4-6.12-14a.16, Ps 89,2-5.27.29, Rz 4,13.16-18.22, Mt 1,16.18-21.24a lub Łk 2,41-51a"
"2023-03-20","Poniedziałek","

","Iz 65,17-21, Ps 30,2.4-6.11-12a.13b, J 4,43-54"
"2023-03-21","Wtorek","

","Ez 47,1-9,12, Ps 46,2-3.5-6.8-9, J 5,1-3a.5-16"
"2023-03-22","Środa","

","Iz 49,8-15, Ps 145,8-9.13cd-14.17-18, J 5,17-30"
"2023-03-23","Czwartek","
Św. Turybiusza Z Mongrovejo, Biskupa
","Wj 32,7-14, Ps 106,19-23, J 5,31-47"
"2023-03-24","Piątek","

","Mdr 2,1a.12-22, Ps 34,17-21.23, J 7,1-2.10.25-30"
"2023-03-25","Sobota","Uroczystść Zwiastowania Pańskiego
Zwiastowanie Pańskie
","Iz 7,10-14, Ps 40,7-11, Hbr 10,4-10, Łk 1,26-38"
"2023-03-26","Niedziela","V NIEDZIELA WIELKIEGO POSTU
W Archidiecezji Przemyskiej: Św. Dobrego Łotra
","Ez 37,12-14, Ps 130,1-8, Rz 8,8-11, J 11,1-45"
"2023-03-27","Poniedziałek","

","Dn 13,41-62, Ps 23,1-6, J 8,1-11"
"2023-03-28","Wtorek","

","Lb 21,4-9, Ps 102,2-3.16-21, J 8,21-30"
"2023-03-29","Środa","

","Dn 3,14-20.91-92.95, Ps: Dn 3,52-56, J 8,31-42"
"2023-03-30","Czwartek","

","Rdz 17,3-9, Ps 105,4-9, J 8,51-59"
"2023-03-31","Piątek","

","Jr 20,10-13, Ps 18,2-7, J 10,31-42"
"2023-04-01","Sobota","

","Ez 37,21-28, Jr 31,10-13, J 11,45-57"
